asw,s,d,f,g,h,j,k,l
经验不限,本科,武汉,江夏区,光谷东,15,25K·14薪,华为终端有限公司,其他类型SaaS/PaaS.智慧城市信息化项目.计算机/通信相关专业.售前技术支持经验
1-3年,大专,武汉,江岸区,后湖,4,6K·13薪,赛思软件,数据分析/挖掘经验.计算机相关专业.Python.数学/统计相关专业
3-5年,本科,武汉,蔡甸区,沌口,8,13K,武汉启未来教育科技,销售/大客户销售.招投标相关经验.ToB销售经验.商务洽谈能力
3-5年,大专,武汉,洪山区,光谷,11,18K·14薪,迪爱斯,Python.Shell.Perl.教研.大数据.Oracle.Java.教学管理
1-3年,本科,武汉,武昌区,水果湖,10,15K,博雅思数据,Java.分布式技术.Hadoop.大数据.HIVE.Hbase.Flink.Spark
经验不限,本科,武汉,洪山区,光谷,20,40K·24薪,微众银行,Hadoop.数据分析.数据清洗
3-5年,硕士,武汉,,,20,25K,某大型知名工程施工公司,HIVE.Shell.Hive.大数据开发经验.Sqoop.数据仓库.ETL开发经验.Hadoop.计算机相关专业.Hbase
3-5年,本科,武汉,江夏区,光谷,9,14K,先进数通,Python.Java.C/C++.数学/统计相关专业.大数据处理经验.机器学习经验
1-3年,硕士,武汉,江夏区,纸坊,10,15K,武昌职业学院,Spark.大数据开发经验.sparkCore
5-10年,大专,武汉,江夏区,光谷,12,15K·13薪,全网数商,数据.分析.清洗.统计.hadoop.hive.spark.hbase
3-5年,大专,武汉,洪山区,光谷,10,13K·13薪,君码科技,大数据开发经验.Kimball
3-5年,本科,武汉,江夏区,光谷东,6,8K,华大基因,Python.Java.计算机相关专业
3-5年,本科,武汉,,,18,28K,数产集团,数据分析.数据挖掘.数据仓库.SQL.数据采集.商业分析
3-5年,硕士,武汉,洪山区,光谷,8,13K·13薪,润和德康,Java
3-5年,本科,武汉,洪山区,南湖,15,20K,索为系统,SQL.Python.PowerBI.数学/统计相关专业.计算机相关专业.数据分析/挖掘经验
经验不限,本科,武汉,江夏区,光谷东,15,30K·14薪,华为云计算,市场调研.需求分析.产品设计.数据分析.Axure.Visio
5-10年,大专,武汉,江夏区,光谷,15,20K,福禄控股,Java.Python.SQL.计算机相关专业.大数据开发经验
3-5年,大专,武汉,汉阳区,沌口,12,13K,湖南全通教育信息技术,阿里云.Dataworks.数据中台
3-5年,本科,武汉,汉阳区,王家湾,15,24K,中电文思海辉,Scala.Spark.Kafka.HDFS.Flink
1-3年,本科,武汉,江夏区,光谷,8,10K,天喻教育,大数据开发经验.数仓建设经验.数据模型.工业制造.快消零售
5-10年,大专,武汉,汉阳区,王家湾,10,15K,武汉正合电子有限公司,用户产品.客户端产品
3-5年,本科,武汉,江岸区,建设大道,12,20K,软通动力,大数据项目管理经验
经验不限,本科,武汉,洪山区,光谷,15,25K·15薪,斗鱼,Hive.Kafka.计算机相关专业
3-5年,大专,武汉,武昌区,东亭,12,18K,TOWAYNET,Java.Hive
1-3年,本科,武汉,洪山区,光谷,40,60K·14薪,数巅科技有限公司,大数据运维经验.运维开发/DevOps
3-5年,本科,武汉,洪山区,文化大道,15,20K,中移上海产业研究院,大数据开发经验.SQL引擎.计算机相关专业.Spark.Flink.Calcite.物化视图
3-5年,本科,武汉,江岸区,后湖,10,14K,金鹏,Java.Python.计算机相关专业.大数据开发经验.大数据平台研发
3-5年,本科,武汉,江夏区,光谷,12,20K·13薪,美囤,数据仓库.ETL.数据分析.SQL.Python.Shell.分布式技术.Hadoop
3-5年,本科,武汉,洪山区,花山,15,23K,招商证券,数据仓库.ETL.分布式技术.Hadoop
3-5年,本科,武汉,洪山区,光谷,15,30K·14薪,腾讯云,调度
3-5年,大专,武汉,洪山区,光谷,12,14K,深圳华云信息系统,HTML5.Node.js.Vue.前端开发经验.计算机/软件工程相关专业.技术博客/开源项目有所贡献
经验不限,本科,武汉,,,25,45K·14薪,某大型企业服务公司,ETL
1-3年,本科,武汉,东西湖区,吴家山,9,14K,亿楚创智,SQL.Java
1-3年,本科,武汉,江汉区,建设大道,10,14K·14薪,海致BDP,Spark.Flume.Impala.Hbase.Python
3-5年,本科,武汉,江汉区,六渡桥,10,15K,武汉江汉城市科技发展,Oracle.MySQL
3-5年,本科,武汉,洪山区,街道口,15,20K,湖北报刊编辑,Spark.Hive.Hbase.大数据开发经验
3-5年,本科,武汉,,,10,15K·14薪,烽火众智,SQL.大数据开发经验.计算机相关专业
在校/应届,硕士,武汉,江夏区,光谷,10,15K,华志信,Java.Scala.Spark.Hadoop.Kafka.Storm.HIVE
1-3年,本科,武汉,,,5,7K,猫人,Java.Python.自然语言处理.深度学习算法
3-5年,本科,武汉,江岸区,后湖,8,13K,东方金信,电商数据采集
经验不限,本科,武汉,,,20,40K·15薪,某大型综合集团公司,Hadoop.大数据.云计算.人工智能.SQL.HIVE.政务.智慧城市
3-5年,本科,武汉,洪山区,鲁巷,11,20K·13薪,任子行,Java.Python.C++
3-5年,本科,武汉,东西湖区,三店,18,25K,泰福隆物业,Python.Linux
5-10年,大专,武汉,江夏区,光谷,12,20K·13薪,物易云通,智慧城市信息化项目.售前技术支持经验
3-5年,本科,武汉,洪山区,鲁巷,12,22K·14薪,武汉中科通达高新...,Java.Flink.大数据.数据中台
1-3年,本科,武汉,洪山区,光谷,15,30K,数翊科技,Python.Scala.Spark.Hadoop.Storm.Flink
1-3年,本科,武汉,,,13,20K,鸿之微,数据产品.大数据.大数据产品经理.大数据产品助理
1-3年,大专,武汉,江夏区,光谷,10,15K,上海中制大数据,Flink.Hbase.Kafka
经验不限,学历不限,武汉,,,25,50K·14薪,某知名计算机软件公司,企业（ToB）.软件/企业服务产品.电话销售.网络销售.对企业/机构（ToB）销售经验.面销/陌拜经验.电话销售经验
经验不限,本科,武汉,江夏区,光谷东,15,25K,华为技术有限公司,Python.数据分析.数据挖掘.关联分析
3-5年,本科,武汉,武昌区,水果湖,12,18K,新航道国际教育集团,Hbase.Hive.计算机相关专业
1-3年,本科,武汉,硚口区,古田,8,13K·13薪,盛聚祥物联科技有...,大数据开发经验.数仓建设经验.ETL开发经验
1-3年,本科,武汉,洪山区,光谷,11,16K·13薪,上海来伊份,SQL.Hadoop.Hbase.Flink.Hive.Tableau
3-5年,大专,武汉,洪山区,光谷,10,15K,德科信息,计算机相关专业.大数据开发经验.数学/统计相关专业
经验不限,本科,武汉,洪山区,光谷,30,60K,腾讯,MySQL/Oracle/DB2.Kettle/Informatica.Shell.PL/SQL.证券项目
3-5年,本科,武汉,,,25,40K,某大型互联网金融公司,JavaScript
5-10年,本科,武汉,洪山区,光谷,20,35K,顺丰科技,Flink.Spark.计算机相关专业.大数据开发经验
3-5年,本科,武汉,,,20,27K·14薪,某500强上市公司,Java.Hive.Spark.大数据开发经验
经验不限,本科,武汉,武昌区,街道口,12,15K,湖北珞珈实验室,Flink.Kafka.Hbase
3-5年,本科,武汉,江夏区,光谷,15,25K·13薪,亿量科技,Java.Python.计算机相关专业.数学/统计相关专业.大数据开发经验
3-5年,本科,武汉,江岸区,建设大道,20,40K,民生科技,Python
1-3年,本科,武汉,江夏区,关山,7,12K,天宇宁达,计算机相关专业.数学/统计相关专业.大数据开发经验.Java.Hive.Spark
1-3年,本科,武汉,洪山区,南湖,11,20K,易佰网络,Python.Java.Shell.Spark.Hadoop.Kafka.Storm
1-3年,硕士,武汉,江夏区,光谷,15,23K,长江证券,Python.深度学习算法.算法设计.Pandas
3-5年,本科,武汉,洪山区,光谷,15,25K,集度,Python.Scala.Spark.Hadoop.Storm.Flink.大数据.Java
1-3年,本科,武汉,,,20,30K,某大型互联网金融公司,自动化测试.Python.Java.Golang.计算机相关专业.自动化测试经验.软件开发经验.SpringBoot.ETL
3-5年,本科,武汉,洪山区,花山,15,20K,元年科技,Flink.Scala.Storm
3-5年,本科,武汉,江夏区,庙山,11,20K,华芯,Spark.Hadoop.Flink
5-10年,本科,武汉,,,30,50K,某大型知名移动互联网上市公司,物流行业数据相关经验.数据分析/挖掘经验.数学/统计相关专业.半导体自动化.FAB
3-5年,本科,武汉,洪山区,光谷,10,15K,国药新创科技发展,大数据.数字孪生.智慧城市
3-5年,本科,武汉,洪山区,光谷,13,22K·14薪,一见互娱,Hive.Storm.Spark.ETL开发经验.大数据开发经验
3-5年,本科,武汉,江汉区,常青,12,22K,云启智慧科技有限公司,数学/统计相关专业.数据分析/挖掘经验.风控相关经验
3-5年,本科,武汉,洪山区,光谷,9,14K·13薪,航天宏图,中台产品.用户中心.统一身份认证.业务中台.应用中台.应用市场.统一门户.融合门户
5-10年,本科,武汉,东西湖区,吴家山,15,25K·13薪,汇智智能,软件实施.微服务架构.虚拟机技术.系统集成工程师.需求分析评估.产品设计.售前支持.负载均衡技术
1-3年,本科,武汉,蔡甸区,莲花湖大道,10,15K,博云,大数据开发经验
1-3年,本科,武汉,江汉区,建设大道,10,15K·13薪,海致星图,大数据
3-5年,本科,武汉,武昌区,水果湖,9,13K·13薪,征途网络,Python.Shell.SQL.Spark.Hadoop.HIVE.HDFS.MapReduce
3-5年,本科,武汉,蔡甸区,沌口,10,15K·13薪,博泰车联网,SQL.Spark.Java.Shell
经验不限,博士,武汉,,,35,65K·14薪,某500强上市公司,数据仓库.ETL.数据挖掘.spark
3-5年,本科,武汉,洪山区,光谷,12,20K,动游科技,数据挖掘
3-5年,本科,武汉,蔡甸区,沌口,10,14K,轩炎睿动科技,Access.MySQL.商业产品.大数据产品.产品设计.产品运营.需求分析.数据分析
1-3年,本科,武汉,洪山区,光谷,10,15K·13薪,喆塔,MySQL.SQLServer
3-5年,本科,武汉,蔡甸区,蔡甸周边,10,15K,东风电动车,系统运维.Python/Shell.MySQL/Oracle.计算机相关专业.大数据运维经验
3-5年,本科,武汉,江夏区,光谷,15,30K,智领云,Spark.Hadoop.大数据.地图导航
3-5年,本科,武汉,洪山区,东亭,10,15K,润和软件,Java.Spark.Hadoop.Kafka.大数据
3-5年,本科,武汉,江汉区,常青,12,18K,佳锐科技,数据开发
1-3年,本科,武汉,江夏区,藏龙岛,9,14K·13薪,中信科集团-武汉虹旭,Java
3-5年,本科,武汉,洪山区,虎泉,15,20K·16薪,大有时空,Python.Java.Spark.Hadoop.HIVE.Hbase
3-5年,本科,武汉,洪山区,庙岭镇,12,18K,武汉云兴,计算机相关专业.数学/统计相关专业.大数据开发经验
5-10年,本科,武汉,江夏区,光谷,15,22K·13薪,北信源武汉分公司,Scala.Kafka.Flink
经验不限,本科,武汉,,,30,50K·14薪,某知名人力资源服务公司,Java.Flink.大数据开发经验
5-10年,本科,武汉,江夏区,光谷,45,60K,途虎养车,大数据
5-10年,本科,武汉,江夏区,光谷,25,40K,全品,计算机相关专业.大数据开发经验.大数据平台.Hadoop
1-3年,本科,武汉,洪山区,光谷,12,20K·14薪,武汉通达信数字科...,大数据
1-3年,本科,武汉,洪山区,光谷,12,20K·14薪,武汉通达信数字科...,Spark.HIVE
1-3年,本科,武汉,洪山区,光谷,13,20K·15薪,武汉伟峰智居科技,Spark.HIVE
3-5年,本科,武汉,武昌区,东亭,15,25K·13薪,蜜度信息,MySQL/Oracle/DB2.Hive.Tableau/PowerBI.计算机相关专业.大数据开发经验.BI项目开发经验
3-5年,本科,武汉,,,20,30K·15薪,某知名汽车生产公司,软件/SaaS.B端市场开发经验.软件/信息化服务销售经验.面销/陌拜经验.市场营销相关学历.业务开拓能力.商务谈判技巧.售前咨询.新客户开发.客户关系维护.互联网/科技.企业服务
3-5年,本科,武汉,武昌区,杨园,10,15K,欣海远航,大数据开发经验
3-5年,本科,武汉,江夏区,光谷,15,25K·14薪,绿盟科技,数据仓库.ETL.数据挖掘.数据分析
3-5年,本科,武汉,洪山区,珞狮南路,15,30K·13薪,掌游科技,Spark.Kafka.MapReduce.Zookeeper.Flink.Impala.Streaming
3-5年,本科,武汉,,,25,35K,某大型知名汽车生产上市公司,Shell.Spark.Presto.Kylin.Flink.Druid
3-5年,本科,武汉,洪山区,光谷,30,60K·15薪,北京有竹居网络,Python.深度学习经验.机器学习算法/工程化经验.电池大数据.汽车行业
3-5年,本科,武汉,洪山区,花山,20,35K·13薪,数字绿土,Java.Python.Flink
3-5年,本科,武汉,洪山区,光谷,10,15K,武汉长江通信智联,智能驾驶.云计算.机器学习算法/工程化经验.深度学习经验.云端大数据.数据挖掘
3-5年,本科,武汉,洪山区,南湖,18,35K,易佰网络武汉分公司,数据挖掘.大数据.数据分析
经验不限,本科,武汉,江夏区,光谷东,20,40K,华为,大数据开发经验
3-5年,本科,武汉,洪山区,岳家嘴,12,15K,罗盘科技,Java.Spark.Flink.计算机相关专业.大数据开发经验.大数据架构设计经验
3-5年,本科,武汉,江夏区,光谷,10,15K,锐杰科技,运维开发/DevOps.Python/Shell.Docker.Kubernetes.计算机相关专业.大数据运维经验
5-10年,本科,武汉,江汉区,唐家墩,25,35K,武汉去玩文化传播...,数据分析.数据产品.智慧城市大脑.大屏可视化.数据可视化.产品经理
3-5年,本科,武汉,洪山区,光谷,15,25K·13薪,湖北普罗格,SQL.Java.Spark.HIVE.Hbase.Flink.HDFS.Zookeeper
3-5年,本科,武汉,黄陂区,滠口,10,15K·13薪,联信智融,Spark.Kafka.Storm.HDFS.Flume.Yarn.Sqoop.Flink
1-3年,本科,武汉,洪山区,光谷,15,20K,腾讯,Java.Kafka.Hadoop
3-5年,本科,武汉,,,25,40K,某互联网公司,Python.Spark.Kafka.Hadoop
3-5年,本科,武汉,江夏区,关山,14,17K,中皖知托付,Java.大数据开发经验
3-5年,本科,武汉,汉阳区,王家湾,13,18K·13薪,彩虹无线,Flink.Python.计算机相关专业.大数据开发经验.数仓建设经验
3-5年,本科,武汉,江夏区,藏龙岛,12,18K,Hismart,Java.Scala.Spark.Flink.Hbase
1-3年,本科,武汉,江夏区,光谷,15,20K·13薪,白虹软件(信息安全),大数据开发经验.华为FusionInsight
经验不限,本科,武汉,,,25,50K,某知名人力资源服务公司,Spark.Hadoop.Kafka.Storm.HIVE.Presto.Druid
3-5年,本科,武汉,洪山区,光谷,20,40K·14薪,小米,大数据平台架构经验.大数据处理经验.数仓建设经验.大数据
3-5年,本科,武汉,洪山区,白沙洲,8,10K·13薪,华晟经世,数据挖掘.ETL.数据处理.大数据.HIVE.Hadoop.Spark.大数据开发
1-3年,本科,武汉,江夏区,光谷,8,13K·13薪,武汉博易讯,全职工作.线下教学.院校专业课.JAVA项目经验.计算机相关专业
3-5年,本科,武汉,洪山区,光谷,18,30K,顺丰速运,初级产品经理.用户产品.产品经理.原型图
经验不限,本科,武汉,江汉区,唐家墩,11,12K,中移集成,Java.SQL.大数据开发经验.机器算法学习.数据挖掘
3-5年,本科,武汉,,,10,15K,某知名汽车生产公司,需求分析工程师.分布式技术.大数据.云计算.人工智能.智能硬件.产品设计
3-5年,本科,武汉,,,10,15K·15薪,武汉交控,Spark.Hbase.Hive
3-5年,硕士,武汉,洪山区,鲁巷,15,25K,兴图新科,Java.Shell.大数据
3-5年,本科,武汉,江夏区,光谷东,15,30K·14薪,华为技术武研所,Spark.Kafka.Storm.Flink.大数据
3-5年,本科,武汉,洪山区,光谷,11,12K,长城战略咨询,Java.大数据开发经验.spark.hdfs
3-5年,本科,武汉,,,10,15K·14薪,天马微电子,数据仓库.数据挖掘.数据分析.大数据
3-5年,本科,武汉,江夏区,光谷,10,15K,北京云科,大数据开发经验.数学/统计相关专业
3-5年,本科,武汉,武昌区,水果湖,12,24K,央中巨石,计算机相关专业.大数据和分布式.hadoop、数据清洗.性能优化
3-5年,本科,武汉,洪山区,光谷,15,25K,卓尔数科,AI产品.数据产品.政府.区块链.PRD文档
3-5年,本科,武汉,武昌区,水果湖,20,40K·13薪,NIO蔚来,B端产品.商业产品.数据产品
3-5年,本科,武汉,江夏区,光谷,11,17K,盛博汇,Java.Scala.Spark.Kafka.Yarn.HDFS.Flink
3-5年,本科,武汉,洪山区,光谷东,20,40K·14薪,数势科技,企业内部技术项目管理.计算机相关专业
3-5年,本科,武汉,洪山区,东亭,10,15K,科旭网络,SQL
3-5年,本科,武汉,江夏区,光谷,10,15K,武汉众娱,SQL.Hive.计算机相关专业.数据仓库、数据中台.阿里Maxcompute.Oracle、SparkSQL
1-3年,本科,武汉,硚口区,宝丰崇仁,10,15K,武汉楚烟信息,Java.Python.Kafka.Spark.Flume.Storm.Hadoop.SQL
3-5年,本科,武汉,洪山区,徐东大街,11,18K,华苏科技,大数据开发.Hadoop.spark.Java
3-5年,本科,武汉,洪山区,光谷,15,25K·15薪,金山云,计算机相关专业.大数据开发经验
3-5年,本科,武汉,武昌区,汉街,14,21K·14薪,聚游科技,Hive.Spark.Kafka.大数据开发经验.数仓建设经验.ETL开发经验
3-5年,本科,武汉,江夏区,关山,12,20K,吉奥时空,Python.Shell.分布式技术.ELKStack.HADOOP生态.Linux系统.大数据系统.Docker容器
3-5年,本科,武汉,蔡甸区,沌口,15,25K,南斗六星,SQL.负载均衡技术.分布式技术.大数据架构
经验不限,博士,武汉,,,25,50K,远光软件,大数据运维经验.CDH
3-5年,本科,武汉,东西湖区,吴家山,15,25K,恒安嘉新,Java.数据分析.Hadoop.分布式技术.计算机相关专业.Spark.数据挖掘
3-5年,本科,武汉,洪山区,关山,20,40K,金山办公软件,Python.HIVE.Hadoop.Kafka.Flink.HDFS.Spark.Ambari
3-5年,本科,武汉,江夏区,光谷,12,20K,商安信,hadoop.spark
5-10年,本科,武汉,武昌区,水果湖,20,35K·13薪,律典通,大数据平台架构经验.大数据处理经验
3-5年,硕士,武汉,江夏区,光谷东,18,35K·14薪,武汉联影医疗,Spark.SQL.Java.计算机相关专业.大数据平台架构经验.大数据.大数据架构师.大数据经理
3-5年,本科,武汉,,,15,30K·15薪,某大型互联网金融公司,数学/统计相关专业.大数据开发经验
10年以上,本科,武汉,,,40,70K·13薪,某500强上市公司,Java.大数据开发经验.Python
1-3年,本科,武汉,江夏区,光谷,13,18K,亿信华辰,Java.Hive.Spark.大数据平台架构经验.大数据处理经验.数仓建设经验
5-10年,本科,武汉,洪山区,光谷,15,20K,武汉储慧信息科技,售前产品.市场调研.用户研究.大数据产品
3-5年,本科,武汉,,,15,30K·15薪,某500强上市公司,大数据开发经验.Hive.Spark.Hbase
3-5年,本科,武汉,,,20,30K,某大型互联网金融公司,大数据开发经验
5-10年,本科,武汉,江汉区,西北湖,12,20K,武汉慧辰,Java.Scala.大数据开发经验
3-5年,本科,武汉,武昌区,汉街,10,14K,轩迪科技,Java.SQL.Spark.计算机相关专业.数仓建设经验.ETL开发经验.学习能力强
3-5年,本科,武汉,江夏区,藏龙岛,16,22K,浅橙科技,hadoop、Spark、ETL;
1-3年,本科,武汉,汉阳区,王家湾,11,20K,帝擎信息科技,Spark.大数据处理经验.风控相关经验.Tableau
1-3年,本科,武汉,,,12,20K·15薪,海康威视,Java.Python.计算机相关专业.大数据开发经验.ETL开发经验
3-5年,本科,武汉,,,20,40K·13薪,某大型企业服务公司,搜索引擎技术.分布式技术
3-5年,本科,武汉,,,20,22K·14薪,某大型知名汽车生产上市公司,Java.Python.Scala.大数据开发经验.数仓建设经验.ETL开发经验.Hadoop.hive
5-10年,本科,武汉,江夏区,光谷,13,18K·13薪,武汉海云健康科技...,Python.Spark.机器学习经验.大数据处理经验.用户画像/标签体系相关经验.数据挖掘
经验不限,本科,武汉,洪山区,光谷,18,35K·14薪,四维图新,Python.Spark.Hadoop.Kafka.HIVE.Hbase
5-10年,本科,武汉,江夏区,光谷,15,25K,武汉高德智感科技,高级软件工程师.后端开发.分布式技术
3-5年,本科,武汉,洪山区,鲁巷,20,40K,伴伴,大数据开发经验
3-5年,本科,武汉,洪山区,花山,13,20K·13薪,易久批,Flink.Hive.Spark
3-5年,本科,武汉,江夏区,光谷,30,50K·18薪,腾讯,SQL.Python.Scala.Spark.Hadoop.Kafka.Impala.Kylin
5-10年,本科,武汉,江汉区,西北湖,25,30K,华信永道,容器技术.Linux.云计算.大数据
5-10年,本科,武汉,,,18,30K,某大型金融集团公司,大数据平台架构经验.数仓建设经验.金融行业数据相关经验
5-10年,本科,武汉,,,25,50K,某大型知名移动互联网上市公司,SQL.Flink.Hive
5-10年,本科,武汉,,,12,24K·13薪,润申标准化,大数据治理.数据中台.交付项目经理
3-5年,本科,武汉,洪山区,光谷,11,18K·13薪,华新技管,爬虫.py.数据开发.Python.Java.计算机相关专业
3-5年,本科,武汉,,,15,30K·15薪,某大型互联网金融公司,Java.Python
5-10年,本科,武汉,,,20,30K,某大型游戏公司,Java.Spark.Scala.大数据开发经验.数仓建设经验.ETL开发经验.金融机构经验
5-10年,本科,武汉,武昌区,汉街,15,30K·13薪,东华软件,Scala.Spark.SQL.大数据平台架构经验.数仓建设经验.文娱/游戏行业数据相关经验
3-5年,本科,武汉,洪山区,光谷,18,22K,艺画开天,大数据产品
3-5年,本科,武汉,,,18,35K·18薪,某500强上市公司,Flink.SQL
5-10年,本科,武汉,江夏区,光谷,15,23K,今日头条,Shell.Hadoop.Flink
经验不限,本科,武汉,,,20,40K,某知名社交网络公司,Java.Python
5-10年,本科,武汉,洪山区,光谷,12,20K·15薪,孚创,计算机相关专业
3-5年,本科,武汉,江夏区,光谷,9,14K,英志芯,数据仓库
1-3年,本科,武汉,洪山区,鲁巷,12,18K,武汉厚溥数字科技,数据仓库.数据开发
5-10年,本科,武汉,东西湖区,吴家山,16,20K,航天网信,Python.Shell.Hbase.计算机相关专业.数学/统计相关专业.大数据开发经验
3-5年,本科,武汉,,,20,25K,某大型互联网公司,Spark.Kafka.Flink.计算机相关专业.大数据开发经验.数仓建设经验
3-5年,本科,武汉,江夏区,藏龙岛,12,16K·13薪,丽迅科技,B端产品.教育大数据产品.一网通办
5-10年,本科,武汉,江岸区,永清,15,20K·13薪,小码联城,产品设计.数据分析.Visio.大数据产品
3-5年,本科,武汉,洪山区,光谷,13,20K,耿仁堂,数据仓库.数据分析.架构师.大数据.BI.地图导航
5-10年,本科,武汉,江夏区,光谷东,20,30K·14薪,武汉依迅,Java.Python.SQL
5-10年,本科,武汉,江夏区,藏龙岛,15,30K·14薪,武汉虹信,Hbase.Spark.Hadoop.平台架构.微服务架构
3-5年,本科,武汉,,,25,40K,某知名社交网络公司,Java.Kafka.Hbase.大数据开发经验.Hadoop
3-5年,本科,武汉,江岸区,后湖,12,18K,钱景商务,互联网
3-5年,本科,武汉,,,20,40K,某知名社交网络公司,Java
3-5年,本科,武汉,,,20,30K,某大型知名汽车生产公司,Spark.Kafka.Flink.计算机相关专业.大数据开发经验.数仓建设经验.Hadoop.实时数仓.离线数仓
3-5年,本科,武汉,,,20,25K,某知名汽车生产公司,大数据开发经验
3-5年,本科,武汉,武昌区,徐东大街,5,6K,智慧星光,Python.Spark.Hbase.SQL
3-5年,本科,武汉,,,25,40K·14薪,某知名社交网络公司,政府/社会团体.企业服务.软件/企业服务产品
3-5年,本科,武汉,,,20,35K·16薪,某大型汽车生产公司,Java.Spark.Kafka.Flink.Hadoop.SQL
5-10年,本科,武汉,,,20,35K·15薪,某大型知名移动互联网上市公司,大数据开发经验
5-10年,本科,武汉,洪山区,黄家湖大学城,15,25K,海波重型工程科技,MySQL
5-10年,本科,武汉,洪山区,光谷,15,25K·13薪,万界数据武汉分公司,Hive.Spark.Hbase.大数据开发经验.数学/统计相关专业.计算机相关专业.MapReduce、
10年以上,本科,武汉,,,60,80K·15薪,某大型互联网公司,Java.Python.C#.算法基础.数据结构.网络编程.全栈开发.前端开发
5-10年,本科,武汉,江夏区,光谷东,11,22K,武汉天成宏远,数字孪生.时空大数据.数字政务
5-10年,本科,武汉,洪山区,鲁巷,13,15K,储慧智能,大数据开发
5-10年,本科,武汉,洪山区,光谷,11,16K·13薪,全民互联,Hbase.Spark.计算机相关专业.数学/统计相关专业.大数据开发经验
3-5年,博士,武汉,江夏区,光谷东,30,60K,TCL工业研究院,Java.数据挖掘.机器学习
5-10年,本科,武汉,,,20,27K,某大型知名汽车生产上市公司,工业大数据算法
5-10年,硕士,武汉,,,20,40K,武汉原素邦网络科技,Hive.Spark.C++.大数据开发经验.数仓建设经验.ETL开发经验
3-5年,本科,武汉,,,20,30K,某大型汽车生产公司,数据挖掘.Python.R语言.SAS.R.大数据.消费金融
5-10年,本科,武汉,洪山区,庙岭镇,15,20K,恒喆科技,大数据开发经验.计算机相关专业
5-10年,本科,武汉,,,20,25K,某大型知名汽车生产上市公司,大数据开发经验.计算机相关专业.大数据架构设计经验.Flink
5-10年,本科,武汉,汉阳区,王家湾,20,30K·13薪,星云海,Python.Shell.SQL
5-10年,本科,武汉,汉阳区,四新,25,30K,汇科智创公司,大数据开发经验
5-10年,本科,武汉,江汉区,唐家墩,15,25K·15薪,中移雄安,大数据处理经验.大数据平台架构经验.数仓建设经验
5-10年,本科,武汉,洪山区,鲁巷,20,35K·14薪,威派格智慧水务,HIVE.Hadoop.SQL.Python.Shell.HDFS.DataX.Java
5-10年,硕士,武汉,,,50,80K·14薪,某知名汽车生产公司,计算机相关专业.大数据平台架构经验
5-10年,本科,武汉,江夏区,光谷,10,15K,全品,大数据
3-5年,本科,武汉,江夏区,光谷,15,26K·15薪,武汉迭驰科技,Java.Python.Shell.大数据开发经验
5-10年,本科,武汉,,,20,30K,某大型知名移动互联网上市公司,Golang.Java.数据仓库.MySQL.分布式技术.数据处理经验.Redis.爬虫开发经验.计算机相关专业.ETL.爬虫工程师.Python
5-10年,本科,武汉,,,17,25K,某大型知名工程施工公司,Spark.Hive.Java.ETL设计/开发经验.健康平台.团队经验.大数据疾控
3-5年,本科,武汉,,,20,40K,某社交网络公司,大数据开发经验.数仓建设经验.dataworks.maxcompute.quickBI
5-10年,本科,武汉,,,18,30K,某大型金融集团公司,Java.Spark.Kafka.Flink
5-10年,本科,武汉,洪山区,光谷,15,25K·15薪,海康威视武汉研发中心,SQL.Flink.Hive
5-10年,本科,武汉,江夏区,藏龙岛,16,30K,云粒智慧,Shell.Scala.Hive.Elasticsearch.分布式技术.Spark.HIVE.Java
5-10年,本科,武汉,,,23,30K·13薪,某大型互联网公司,数据中台.数据治理.数据建模
3-5年,本科,武汉,,,20,30K·16薪,某500强上市公司,B端产品.C端产品.教育平台、大数据
3-5年,本科,武汉,,,20,25K,某大型互联网公司,后端工程师.Java.计算机/软件工程相关经验.分布式系统开发经验.大数据处理经验
5-10年,本科,武汉,,,15,30K,某大型计算机软件公司,B端产品.数据产品.一网通办.数据中台.教育大数据
3-5年,本科,武汉,江夏区,关山,15,30K,诸葛io,JAVA.大数据.医疗
5-10年,本科,武汉,洪山区,鲁巷,11,20K·15薪,华润数科,SQL.Python.Java.Spark.Kafka.Flink.MapReduce.Impala
5-10年,本科,武汉,,,35,50K·14薪,某大型企业服务公司,Hadoop.Spark.Kafka.大数据运维经验.运维开发经验
3-5年,硕士,武汉,,,18,25K·20薪,某500强上市公司,Java.Spark.SQL.大数据平台架构经验.大数据处理经验.金融行业数据相关经验
经验不限,本科,武汉,,,40,65K·13薪,某500强上市公司,SQL.ETL开发经验
10年以上,本科,武汉,,,30,45K·15薪,某大型综合集团公司,博士
3-5年,本科,武汉,,,20,25K,某知名汽车生产公司,Java
5-10年,本科,武汉,洪山区,光谷,30,50K,一诺互动,大数据挖掘.机器学习.数据挖掘
5-10年,本科,武汉,洪山区,鲁巷,18,30K·14薪,科大讯飞,Java.Spark.Kafka.Flink
5-10年,本科,武汉,,,20,25K,某大型知名汽车生产上市公司,B端产品.大数据产品.TOB.TOG.数据治理.数据中台.教育行业
3-5年,本科,武汉,,,11,20K,中诚信征信,Spark.Hbase
5-10年,本科,武汉,,,20,25K·13薪,某大型计算机软件公司,售前咨询.金融大数据.项目管理.分析师
5-10年,本科,武汉,,,35,55K·15薪,某500强上市公司,大数据开发经验.大数据架构设计经验
